"name","pop2020"
"Antigua and Barbuda","97.9290"
"Australia","25499.8840"
"Bahamas","393.2440"
"Bahrain","1701.5750"
"Barbados","287.3750"
"Brunei","437.4790"
"Cape Verde","555.9870"
"Comoros","869.6010"
"Cuba","11326.6160"
"Cyprus","1207.3590"
"Dominica","71.9860"
"Dominican Republic","10847.9100"
"Fiji","896.4450"
"Haiti","11402.5280"
"Iceland","341.2430"
"Indonesia","273523.6150"
"Ireland","4937.7860"
"Jamaica","2961.1670"
"Japan","126476.4610"
"Kiribati","119.4490"
"Madagascar","27691.0180"
"Maldives","540.5440"
"Malta","441.5430"
"Marshall Islands","59.1900"
"Mauritius","1271.7680"
"Micronesia","115.0230"
"Nauru","10.8240"
"New Zealand","4822.2330"
"Palau","18.0940"
"Papua New Guinea","8947.0240"
"Philippines","109581.0780"
"Saint Kitts and Nevis","53.1990"
"Saint Lucia","183.6270"
"Saint Vincent and the Grenadines","110.9400"
"Samoa","198.4140"
"Sao Tome and Principe","219.1590"
"Seychelles","98.3470"
"Singapore","5850.3420"
"Solomon Islands","686.8840"
"Sri Lanka","21413.2490"
"Taiwan","23816.7750"
"Timor-Leste","1318.4450"
"Tonga","105.6950"
"Trinidad and Tobago","1399.4880"
"Tuvalu","11.7920"
"United Kingdom","67886.0110"
"Vanuatu","307.1450"
